Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
DEH,DECORAH MUNICIPAL AIRPORT,No,No,No,No
LRJ,LE MARS MUNICIPAL AIRPORT,No,No,No,No
MXO,MONTICELLO REGIONAL AIRPORT,No,No,No,No
DNS,DENISON MUNICIPAL AIRPORT,No,No,No,No
AXA,ALGONA MUNICIPAL AIRPORT,No,No,No,No
SHL,SHELDON REGIONAL AIRPORT,No,No,No,No
RDK,RED OAK MUNICIPAL AIRPORT,No,No,No,No
VTI,"VINTON VETERANS MEMORIAL AIRPARK, AIRPORT",No,No,No,No
GGI,GRINNELL REGIONAL AIRPORT,No,No,No,No
CKP,CHEROKEE COUNTY REGIONAL AIRPORT,No,No,No,No
MPZ,MOUNT PLEASANT MUNICIPAL AIRPORT,No,No,No,No
OXV,KNOXVILLE MUNICIPAL AIRPORT,No,No,No,No
IFA,IOWA FALLS MUNICIPAL AIRPORT,No,No,No,No
CSQ,CRESTON MUNICIPAL AIRPORT,No,No,No,No
TVK,CENTERVILLE MUNICIPAL AIRPORT,No,No,No,No
SDA,SHENANDOAH MUNICIPAL AIRPORT,No,No,No,No
EST,ESTHERVILLE MUNICIPAL AIRPORT,No,No,No,No
I75,OSCEOLA MUNICIPAL AIRPORT,No,No,No,No
BNW,BOONE MUNICIPAL AIRPORT,No,No,No,No
HNR,HARLAN MUNICIPAL AIRPORT,No,No,No,No
EBS,WEBSTER CITY MUNICIPAL AIRPORT,No,No,No,No
FXY,FOREST CITY MUNICIPAL AIRPORT,No,No,No,No
OOA,OSKALOOSA MUNICIPAL AIRPORT,No,No,No,No
HPT,HAMPTON MUNICIPAL AIRPORT,No,No,No,No
OLZ,OELWEIN MUNICIPAL AIRPORT,No,No,No,No
