Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
DTO,DENTON ENTERPRISE,Yes,No,No,No
E57,DENVER CITY,Yes,No,No,Yes
23R,DEVINE MUNICIPAL,No,No,No,Yes
24R,DILLEY AIRPARK,No,No,No,Yes
T55,DIMMITT MUNI,Yes,No,No,Yes
6R6,TERRELL COUNTY,No,No,No,No
9F0,DUBLIN MUNICIPAL,Yes,No,No,Yes
DUX,MOORE COUNTY,Yes,No,No,Yes
ELA,EAGLE LAKE,Yes,No,No,Yes
5T9,MAVERICK COUNTY MEMORIAL INTERNATIONAL,No,No,No,No
ETN,EASTLAND MUNICIPAL,Yes,No,No,No
EBG,S TX INTERNATIONAL AIRPORT AT EDINBURG,No,No,No,No
26R,JACKSON COUNTY,Yes,No,No,No
ELP,EL PASO INTERNATIONAL,No,No,No,Yes
27R,ELDORADO,Yes,No,No,Yes
F41,ENNIS MUNICIPAL,No,No,No,No
E35,FABENS,Yes,No,No,Yes
BKS,BROOKS COUNTY,No,No,No,No
41F,FLOYDADA MUNICIPAL,Yes,No,No,No
T93,LIPSCOMB COUNTY,No,No,No,Yes
GRK,"KILLEEN, ROBERT GRAY AAF",No,No,No,No
FST,FORT STOCKTON-PECOS COUNTY,Yes,No,No,No
50F,BOURLAND FIELD,Yes,No,No,No
AFW,FORT WORTH ALLIANCE,Yes,No,No,Yes
FWS,FORT WORTH SPS,Yes,No,No,Yes
T67,HICKS AIRFIELD,No,No,No,No
4T2,KENNETH COPELAND,No,No,No,No
9F9,SYCAMORE STRIP,No,No,No,No
T25,AREO ESTATES,No,No,No,No
T82,GILLESPIE COUNTY,Yes,No,No,Yes
T19,DUVAL-FREER,Yes,No,No,No
X54,BENGER AIR PARK,Yes,No,No,Yes
X09,COVEY TRAILS,No,No,No,No
GLE,GAINESVILLE MUNICIPAL,Yes,No,No,No
GLS,SCHOLES INTL AT GALVESTON,Yes,No,No,Yes
GOP,GATESVILLE MUNI,Yes,No,No,No
8T6,LIVE OAK COUNTY,Yes,No,No,No
GTU,GEORGETOWN MUNICIPAL,Yes,No,No,No
GYB,GIDDINGS-LEE COUNTY,Yes,No,No,No
JXI,GILMER MUNI,Yes,No,No,No
07F,GLADEWATER MUNICIPAL,No,No,No,Yes
T37,GOLDTHWAITE MUNICIPAL,No,No,No,No
T20,ROGER M DREYER MUNICIPAL,No,No,No,Yes
3T0,CEDAR MILLS,No,No,Yes,Yes
F35,POSSUM KINGDOM,No,No,No,No
RPH,GRAHAM MUNICIPAL,Yes,No,No,Yes
10F,ROSSER RANCH,No,No,No,Yes
GDJ,GRANBURY REGIONAL,Yes,No,No,Yes
GPM,GRAND PRAIRIE MUNICIPAL,Yes,No,No,Yes
GVT,MAJORS,No,No,No,No
33R,GROVETON-TRINITY COUNTY,No,No,No,No
E19,GRUVER MUNICIPAL,No,No,No,No
34R,HALLETTSVILLE MUNICIPAL,Yes,No,No,Yes
