Airport Identifier,Airport Name,Courtesy Car,Bicycles,Camping,Meals
MKG,MUSKEGON COUNTY,No,No,No,No
3NP,NAPOLEON,No,No,No,No
6H4,VAN WAGNEN _,No,No,No,No
26W,WOLF LAKE,No,No,No,No
Y47,OAKLAND / SW,Yes,No,No,Yes
6Y5,TWO HEARTED,No,No,Yes,No
3TR,JERRY TYLER MEMORIAL,Yes,No,No,No
6Y3,NORTH FOX ISLAND AIRSTRIP,No,No,Yes,No
5D5,WOOLSEY MEM,No,No,Yes,No
5N7,HAT FIELD,No,No,No,No
OSC,OSCODA-WURTSMITH,No,No,No,No
RNP,OWOSSO COMMUNITY,No,No,No,Yes
2C5,ALMENA,No,No,No,Yes
PLN,PELLSTON REGIONAL OF EMMET CO,No,No,No,No
52l,GROSS,No,No,No,No
61D,PLAINWELL MUNICIPAL,Yes,No,No,No
1D2,METTETAL,No,No,No,No
PTK,OAKLAND CO. INT’L,No,No,No,No
29C,GRINDSTONE,No,No,No,Yes
PHN,ST. CLAIR CO INT'L,No,No,No,No
57D,RAY COMMUNITY AIRPORT,No,No,No,No
MI99,ROBERTSON FIELD,No,No,No,No
6Y4,VAN EFFEN,No,No,No,No
35C,WELLS,No,No,No,No
PZQ,PRESQUE ISLE CO,No,No,Yes,No
D98,ROMEO STATE AIRPORT,No,No,No,No
3RC,ROSCOMMON CONSERVATION,No,No,No,No
HYX,SAGINAW CO. H. W. BROWNE,No,No,No,Yes
6Y6,SAINT HELEN,No,No,Yes,No
83D,MACKINAC,Yes,No,No,No
97G,GLOWACKI,No,No,No,No
385,SCHIFFER ACRES,No,No,No,No
39T,TRIPP CREEK,No,No,No,Yes
96G,COWLEY FIELD,No,No,No,No
Y83,,No,No,No,No
CIU,CHIPPEWA CO INT’L,No,No,No,No
ANJ,SAULT STE. MARIE - SANDERSON,No,No,No,Yes
98G,SEBEWAING TOWNSHIP,No,Yes,Yes,No
6Y9,PRICKETT-GROOMS,No,Yes,Yes,No
8D4,PAUL C. MILLER,Yes,No,No,No
38C,CAIN FIELD,Yes,No,No,No
C43,HIRAM CURE AIRFIELD,No,No,No,Yes
3TE,ALMEYERS,No,No,No,Yes
34G,MERILLAT,No,No,No,No
22T,TECUMSEH MILLS AIRPORT,No,No,No,No
2T7,VAN CAMP'S HELIPORT,No,No,No,Yes
7Y2,THOMPSONVILLE,No,No,Yes,No
HAI,DR. HAINES,No,No,No,No
Y30,PBEAAYE,No,No,No,No
TVC,CHERRY CAPITAL,Yes,No,No,No
4M0,LAKE ANN,No,No,No,No
VLL,OAKLAND / TROY,No,No,No,Yes
40C,WATERVLIET MUNICIPAL,No,No,Yes,Yes
41C,CALKINS FIELD,No,No,No,No
D11,OJIBWA,Yes,No,No,No
Y31,WEST BRANCH COMMUNITY,No,No,No,No
3F5,FOREST HILL,No,No,No,No
42C,WHITE CLOUD,No,No,No,No
53W,WOODRUFF LAKE,No,No,No,No
48G,GAVAGAN FIELD,No,No,No,No
4Y8,PARA FIELD,No,No,No,No
D20,YALE,No,No,No,No
Z98,OTTAWA EXECUTIVE,Yes,No,No,No
Y98,GRAND MARAIS,No,No,Yes,No
IRS,KIRSCH,No,No,No,No,No
LWA,SOUTH HAVEN,No,No,No,No,No
MI8,SAULT STE. MARIE,Yes,No,Yes,Yes,Yes
MBS,SAGINAW,No,No,No,No,No
PTK,OAKLAND COUNTY INT’L,Yes,No,No,No,Yes
1D2,CANTON-PLYMOUTH-METTETAL,Yes,No,No,No,Yes
OGM,ONTONAGON,Yes,No,Yes,Yes,Yes
6Y5,TWO HEARTED,No,No,No,Yes,No
